AI SURVEILLANCE REPORT
Generated,2026-05-02 20:46:41

SUMMARY
Total Alerts,1
Screenshots Captured,1
Unique Event Types,1

EVENT DETAILS
Object Type,Detection Count,Max Threat %
Cell Phone,1,59
